lga_name, adm_canc_all_1_count, lga_code, ste_name, adm_dig_all_2_asr, adm_canc_all_2_asr, adm_ment_all_1_count, adm_dig_all_1_count, adm_ment_all_2_asr
"Darwin (C)",null,71000,"nt",null,null,null,null,null
"East Arnhem (S)",null,71300,"nt",null,null,null,null,null
"Katherine (T)",null,72200,"nt",null,null,null,null,null
"MacDonnell (S)",null,72330,"nt",null,null,null,null,null
"Palmerston (C)",null,72800,"nt",null,null,null,null,null
"Roper Gulf (S)",null,73600,"nt",null,null,null,null,null
"Tiwi Islands (S)",null,74050,"nt",null,null,null,null,null
"Victoria-Daly (S)",null,74500,"nt",null,null,null,null,null
"Wagait (S)",null,74560,"nt",null,null,null,null,null
"West Arnhem (S)",null,74660,"nt",null,null,null,null,null
"Unincorporated NT",null,79399,"nt",null,null,null,null,null
"Unincorporated ACT",null,89399,"act",null,null,null,null,null
