lga_name, adm_canc_all_1_count, lga_code, ste_name, adm_dig_all_2_asr, adm_canc_all_2_asr, adm_ment_all_1_count, adm_dig_all_1_count, adm_ment_all_2_asr
"Whitehorse (C)",5042,26980,"vic",4363.4,2926.3,4003,7133,2484.1
"Whittlesea (C)",3577,27070,"vic",4166.8,2489.2,1294,6612,771.2
"Wodonga (RC)",1132,27170,"vic",4779.4,3367.7,301,1689,846.8
"Wyndham (C)",2914,27260,"vic",4490.3,2391.0,1070,6896,617.8
"Yarra (C)",1685,27350,"vic",3854.4,2576.5,964,2896,1093.8
"Yarra Ranges (S)",4109,27450,"vic",4929.3,2782.1,1937,7353,1317.4
"Yarriambiack (S)",308,27630,"vic",4221.5,2973.2,null,357,null
"Unincorporated Vic",null,29399,"vic",null,null,null,null,null
"Aurukun (S)",null,30250,"qld",null,null,null,null,null
"Balonne (S)",107,30300,"qld",4854.6,2075.1,62,241,1311.0
"Banana (S)",335,30370,"qld",4099.6,2342.7,168,601,1146.8
"Barcaldine (R)",64,30410,"qld",4444.3,1894.0,null,147,null
"Blackall Tambo (R)",44,30760,"qld",4444.3,1894.0,null,101,null
"Boulia (S)",13,30900,"qld",null,2549.0,null,null,null
"Brisbane (C)",35084,31000,"qld",4006.2,3598.0,34530,42486,3056.6
"Bulloo (S)",11,31750,"qld",null,2549.0,null,null,null
"Bundaberg (R)",4081,31820,"qld",4869.4,3457.2,958,5027,1037.7
"Burdekin (S)",539,31900,"qld",4643.0,2587.9,null,889,null
"Burke (S)",14,31950,"qld",null,2933.5,null,null,null
"Cairns (R)",3427,32070,"qld",3713.6,2347.2,3539,5828,2194.7
"Carpentaria (S)",55,32250,"qld",6526.1,2933.5,null,138,null
"Cassowary Coast (R)",783,32260,"qld",3956.4,2334.2,412,1236,1411.9
"Central Highlands (R)",520,32270,"qld",3807.8,2393.7,240,1040,794.3
"Charters Towers (R)",343,32310,"qld",4292.3,2353.3,172,574,1394.5
"Cherbourg (S)",40,32330,"qld",4527.1,2395.1,null,65,null
"Cloncurry (S)",86,32450,"qld",6526.1,2933.5,null,216,null
"Cook (S)",58,32500,"qld",3519.8,1694.1,null,143,null
"Croydon (S)",null,32600,"qld",3519.8,null,null,11,null
"Gold Coast (C)",14621,33430,"qld",4320.7,2734.8,7616,22883,1443.3
"Goondiwindi (R)",240,33610,"qld",4854.6,2075.1,139,542,1311.0
"Gympie (R)",1456,33620,"qld",4821.9,2474.0,454,2520,970.7
"Diamantina (S)",null,32750,"qld",4638.5,null,null,14,null
"Hinchinbrook (S)",326,33800,"qld",4292.3,2353.3,164,546,1394.5
"Hope Vale (S)",null,33830,"qld",null,null,null,null,null
"Ipswich (C)",4370,33960,"qld",3906.3,3041.4,3246,6312,1927.6
"Doomadgee (S)",34,32770,"qld",6526.1,2933.5,null,86,null
"Etheridge (S)",12,33100,"qld",null,1694.1,null,null,null
"Flinders (S)",48,33200,"qld",6526.1,2933.5,null,120,null
"Fraser Coast (R)",4342,33220,"qld",4498.6,3279.2,1134,5060,1156.8
"Gladstone (R)",1639,33360,"qld",4198.3,3132.0,400,2465,650.6
"Isaac (R)",277,33980,"qld",3503.3,1755.1,null,737,null
"Kowanyama (S)",null,34420,"qld",null,null,null,null,null
"Lockhart River (S)",null,34570,"qld",null,null,null,null,null
"Lockyer Valley (R)",935,34580,"qld",3967.7,2523.2,418,1459,1186.4
"Logan (C)",7516,34590,"qld",3867.3,3097.4,4555,10480,1629.8
"Longreach (R)",84,34710,"qld",4444.3,1894.0,null,191,null
"Mackay (R)",2806,34770,"qld",4403.1,2627.8,1118,5089,932.9
"McKinlay (S)",null,34800,"qld",6526.1,null,null,70,null
"Murweh (S)",128,35600,"qld",4638.5,2549.0,null,227,null
"Napranum (S)",12,35670,"qld",null,1694.1,null,null,null
"North Burnett (R)",391,35760,"qld",3995.0,2796.2,104,481,984.3
"Northern Peninsula Area (R)",null,35780,"qld",3519.8,null,null,79,null
"Redland (C)",5583,36250,"qld",4232.2,3675.6,3070,6273,2145.5
"Richmond (S)",null,36300,"qld",null,null,null,null,null
"Rockhampton (R)",3830,36360,"qld",4068.1,3306.6,924,4710,814.2
"Scenic Rim (R)",1185,36510,"qld",4452.9,2753.9,597,1793,1579.8
"Somerset (R)",761,36580,"qld",4271.8,2961.2,512,1034,2271.5
"South Burnett (R)",891,36630,"qld",4539.5,2292.8,547,1579,1755.3
"Southern Downs (R)",987,36660,"qld",3958.0,2289.1,545,1506,1605.8
"Sunshine Coast (R)",12475,36710,"qld",4529.3,3223.1,4656,15813,1440.3
"Tablelands (R)",1134,36810,"qld",4292.4,2105.9,817,2102,1828.4
"Toowoomba (R)",4578,36910,"qld",4336.9,2816.5,2302,6854,1512.4
"Torres (S)",45,36950,"qld",3519.8,1694.1,null,112,null
"Torres Strait Island (R)",59,36960,"qld",3519.8,1694.1,null,147,null
"Mapoon (S)",null,34830,"qld",null,null,null,null,null
"Maranoa (R)",336,34860,"qld",4372.8,2486.1,134,592,1000.5
"Moreton Bay (R)",11056,35010,"qld",4426.4,2862.7,8429,17330,2179.3
"Mornington (S)",null,35250,"qld",6526.1,null,null,76,null
"Mount Isa (C)",203,35300,"qld",3453.2,1304.2,null,686,null
"Palm Island (S)",66,35790,"qld",4292.3,2353.3,null,110,null
"Paroo (S)",51,35800,"qld",4638.5,2549.0,null,91,null
"Pormpuraaw (S)",null,36070,"qld",null,null,null,null,null
"Townsville (C)",4094,37010,"qld",4063.8,2674.3,1440,6997,796.0
"Weipa (T)",46,37300,"qld",3519.8,1694.1,null,115,null
"Western Downs (R)",858,37310,"qld",4499.6,2565.8,338,1485,1056.8
"Whitsunday (R)",692,37340,"qld",3973.1,2104.0,382,1353,1101.9
"Adelaide (C)",716,40070,"sa",3304.5,3743.7,534,729,2145.5
"Adelaide Hills (DC)",1154,40120,"sa",3838.6,2662.5,250,1607,631.4
"Alexandrina (DC)",846,40220,"sa",3332.2,2381.5,274,975,1088.2
"Donnybrook-Balingup (S)",195,52870,"wa",4178.6,2813.6,84,258,1527.2
"Winton (S)",37,37400,"qld",4638.5,2549.0,null,66,null
"Campbelltown (C)",1636,40910,"sa",4327.7,2754.8,440,2328,855.7
"Ceduna (DC)",85,41010,"sa",3095.2,2241.5,null,116,null
"Charles Sturt (C)",3791,41060,"sa",3535.5,2957.2,1303,4157,1141.2
"Woorabinda (S)",18,37550,"qld",3354.9,2253.2,null,31,null
"Clare and Gilbert Valleys (DC)",293,41140,"sa",3597.4,2659.5,null,352,null
"Mount Gambier (C)",573,44620,"sa",3793.1,2131.3,309,986,1231.9
"Wujal Wujal (S)",null,37570,"qld",null,null,null,null,null
"Yarrabah (S)",59,37600,"qld",4395.6,2147.6,null,115,null
"Coober Pedy (DC)",33,41330,"sa",null,1668.2,null,null,null
"Copper Coast (DC)",530,41560,"sa",3608.5,2754.2,235,572,1727.4
"Elliston (DC)",32,41750,"sa",null,2387.5,null,null,null
"Mount Remarkable (DC)",61,44830,"sa",2920.8,1421.0,null,103,null
"Murray Bridge (RC)",614,45040,"sa",3216.2,2562.4,null,708,null
"Harvey (S)",711,53990,"wa",4865.7,3077.0,232,1174,965.1
"Irwin (S)",101,54060,"wa",3595.8,2198.6,null,150,null
"Anangu Pitjantjatjara (AC)",null,40250,"sa",null,null,null,null,null
"Barossa (DC)",660,40310,"sa",3903.7,2502.3,238,947,1048.0
"Barunga West (DC)",83,40430,"sa",3192.2,2506.2,null,91,null
"Berri and Barmera (DC)",349,40520,"sa",3748.6,2735.4,225,433,2117.5
"Kangaroo Island (DC)",119,42750,"sa",2886.1,2017.2,null,150,null
"Karoonda East Murray (DC)",38,43080,"sa",3416.0,2783.7,null,41,null
"Orroroo/Carrieton (DC)",null,45400,"sa",null,null,null,null,null
"Jerramungup (S)",null,54130,"wa",null,null,null,null,null
"Joondalup (C)",4700,54170,"wa",4375.4,3039.5,1963,7129,1194.0
"Kalamunda (S)",1529,54200,"wa",4255.4,2598.3,561,2498,972.1
"Burnside (C)",1764,40700,"sa",3935.1,3185.9,367,1920,822.2
"Cleve (DC)",53,41190,"sa",2630.9,2370.9,null,52,null
"Flinders Ranges (DC)",54,41830,"sa",3919.3,2842.6,null,71,null
"Franklin Harbour (DC)",39,41960,"sa",null,2370.9,11,null,842.0
"Loxton Waikerie (DC)",294,43790,"sa",2468.5,2091.5,164,315,1388.2
"Mallala (DC)",232,43920,"sa",3343.6,2758.0,55,290,640.0
"Marion (C)",3227,44060,"sa",3652.3,3402.7,1054,3283,1189.0
"Mid Murray (DC)",276,44210,"sa",2975.5,2490.7,null,289,null
"Gawler (T)",621,42030,"sa",3910.0,2621.6,253,864,1201.0
"Goyder (DC)",100,42110,"sa",3061.5,1769.3,null,149,null
"Grant (DC)",139,42250,"sa",3260.2,1537.0,null,280,null
"Mitcham (C)",2533,44340,"sa",3850.5,3378.9,782,2660,1191.6
"Mount Barker (DC)",728,44550,"sa",3582.7,2456.8,311,1079,1044.3
"Belmont (C)",932,50490,"wa",3967.4,2540.7,611,1526,1488.3
"Beverley (S)",69,50560,"wa",3630.0,3563.8,null,64,null
"Boddington (S)",58,50630,"wa",3350.4,2210.1,null,84,null
"Holdfast Bay (C)",1791,42600,"sa",3949.9,3803.7,382,1624,992.1
"Kimba (DC)",33,43220,"sa",null,2370.9,null,null,null
"Kingston (DC)",68,43360,"sa",2944.2,2387.5,null,76,null
"Light (RegC)",357,43650,"sa",3520.0,2490.6,125,505,890.8
"Lower Eyre Peninsula (DC)",153,43710,"sa",2517.7,2529.3,null,138,null
"Naracoorte and Lucindale (DC)",230,45090,"sa",2910.5,2423.3,null,261,null
"Northern Areas (DC)",98,45120,"sa",3056.7,1622.3,null,159,null
"Norwood Payneham St Peters (C)",1203,45290,"sa",3870.7,2980.1,429,1475,1122.6
"Onkaparinga (C)",5248,45340,"sa",3306.6,3109.6,1817,5498,1115.4
"Boyup Brook (S)",58,50770,"wa",4178.6,2813.6,null,77,null
"Bridgetown-Greenbushes (S)",158,50840,"wa",4178.6,2813.6,68,209,1527.2
"Brookton (S)",31,50910,"wa",null,2412.7,null,null,null
"Broome (S)",375,50980,"wa",5570.3,3429.0,null,788,null
"Broomehill-Tambellup (S)",null,51080,"wa",null,null,null,null,null
"Bruce Rock (S)",31,51120,"wa",3532.8,2678.8,null,38,null
"Bunbury (C)",962,51190,"wa",4601.0,2770.8,496,1563,1472.1
"Peterborough (DC)",37,45540,"sa",2919.8,1419.7,null,62,null
"Playford (C)",1780,45680,"sa",4017.8,2463.0,842,3115,1063.9
"Port Adelaide Enfield (C)",3413,45890,"sa",3764.8,2837.2,1609,4501,1319.7
"Port Augusta (C)",442,46090,"sa",3919.3,2842.6,null,588,null
"Port Lincoln (C)",475,46300,"sa",2966.4,3081.4,null,441,null
"Port Pirie City and Dists (M)",615,46450,"sa",3800.8,2898.8,307,725,1746.9
"Busselton (S)",1333,51260,"wa",4473.5,3724.9,379,1504,1190.7
"Cambridge (T)",951,51310,"wa",4450.7,3353.1,540,1238,1964.8
"Canning (C)",1832,51330,"wa",3135.6,2144.4,928,2876,967.3
"Capel (S)",325,51400,"wa",4674.5,2693.3,null,649,null
"Carnamah (S)",15,51470,"wa",3595.8,2198.6,null,23,null
"Carnarvon (S)",174,51540,"wa",3788.2,2825.9,null,231,null
"Chapman Valley (S)",31,51610,"wa",3807.6,2342.2,10,49,806.5
"Prospect (C)",553,46510,"sa",3484.5,2572.8,191,743,886.3
"Renmark Paringa (DC)",431,46670,"sa",3466.7,3804.7,212,355,2228.5
"Robe (DC)",42,46860,"sa",2944.2,2387.5,null,47,null
"Roxby Downs (M)",34,46970,"sa",2476.5,1342.9,null,106,null
"Salisbury (C)",3010,47140,"sa",3786.3,2437.2,1155,4925,864.8
"Southern Mallee (DC)",77,47290,"sa",3463.1,2798.8,null,83,null
"Streaky Bay (DC)",52,47490,"sa",3089.6,2242.7,null,70,null
"Tatiara (DC)",195,47630,"sa",2944.2,2387.5,null,218,null
"Tea Tree Gully (C)",2843,47700,"sa",4220.1,2721.4,763,4275,772.3
"The Coorong (DC)",203,47800,"sa",3463.1,2798.8,null,220,null
"Tumby Bay (DC)",79,47910,"sa",2393.6,2387.5,null,70,null
"Kojonup (S)",46,54550,"wa",3333.5,2173.4,null,69,null
"Kondinin (S)",27,54620,"wa",3350.4,2210.1,10,40,895.3
"Koorda (S)",15,54690,"wa",3785.9,2867.8,null,18,null
"Kulin (S)",22,54760,"wa",3350.4,2210.1,null,31,null
"Unley (C)",1270,47980,"sa",3759.3,3124.0,493,1474,1259.1
"Victor Harbor (C)",607,48050,"sa",3173.9,2374.5,204,602,1351.8
"Wakefield (DC)",225,48130,"sa",3185.4,2502.8,null,246,null
"Coolgardie (S)",78,51960,"wa",3580.7,2533.5,null,138,null
"Coorow (S)",30,52030,"wa",3595.8,2198.6,10,45,885.4
"Kwinana (T)",677,54830,"wa",4130.7,2629.3,345,1230,1072.1
"Lake Grace (S)",36,54900,"wa",3350.4,2210.1,null,52,null
"Walkerville (M)",194,48260,"sa",3484.5,2572.8,null,261,null
"Wattle Range (DC)",371,48340,"sa",3451.6,2652.6,null,441,null
"West Torrens (C)",1887,48410,"sa",3492.0,3038.5,561,2075,926.3
"Whyalla (C)",558,48540,"sa",3143.9,2376.7,361,727,1587.1
"Wudinna (DC)",38,48640,"sa",null,2386.7,11,null,870.6
"Yankalilla (DC)",192,48750,"sa",3173.5,2374.5,65,191,1350.3
"Yorke Peninsula (DC)",487,48830,"sa",3961.4,2603.1,172,574,1457.2
"Unincorporated SA",93,49399,"sa",3355.9,1819.4,null,173,null
"Albany (C)",1043,50080,"wa",4579.3,2541.3,669,1718,1915.2
"Armadale (C)",1401,50210,"wa",3520.2,2303.1,761,2322,1119.5
"Ashburton (S)",68,50250,"wa",2492.8,962.3,82,262,597.0
"Augusta-Margaret River (S)",328,50280,"wa",3806.0,2588.7,154,481,1218.7
"Bassendean (T)",464,50350,"wa",4656.5,2946.8,218,735,1356.4
"Bayswater (C)",1872,50420,"wa",4071.3,2769.2,1197,2782,1685.0
"Chittering (S)",171,51680,"wa",3951.6,2948.1,44,208,917.0
"Dalwallinu (S)",44,52520,"wa",3785.9,2867.8,null,53,null
"Claremont (T)",404,51750,"wa",4666.3,3625.2,200,494,1963.6
"Cockburn (C)",2206,51820,"wa",4032.0,2615.4,1205,3755,1214.7
"Collie (S)",268,51890,"wa",4457.1,2695.1,null,447,null
"Dandaragan (S)",123,52590,"wa",3951.6,2948.1,null,150,null
"Dardanup (S)",347,52660,"wa",4467.9,2750.8,64,576,497.1
"Denmark (S)",184,52730,"wa",4107.4,2659.8,null,252,null
"Derby-West Kimberley (S)",null,52800,"wa",null,null,null,null,null
"Corrigin (S)",36,52100,"wa",3579.7,2412.7,null,45,null
"Cottesloe (T)",338,52170,"wa",4619.9,3645.8,178,402,2130.0
"Cranbrook (S)",null,52240,"wa",null,null,null,null,null
"Cuballing (S)",23,52310,"wa",3350.4,2210.1,null,33,null
"Cue (S)",null,52380,"wa",null,null,null,null,null
"Cunderdin (S)",41,52450,"wa",3532.8,2678.8,null,51,null
"Dowerin (S)",23,52940,"wa",3785.9,2867.8,null,29,null
"Dumbleyung (S)",16,53010,"wa",null,2210.1,null,null,null
"Dundas (S)",null,53080,"wa",null,null,null,null,null
"East Fremantle (T)",242,53150,"wa",4133.9,2869.6,213,337,2598.9
"East Pilbara (S)",79,53220,"wa",1517.3,963.4,null,189,null
"Esperance (S)",442,53290,"wa",3914.5,3060.0,234,554,1702.5
"Exmouth (S)",54,53360,"wa",3056.0,2004.0,null,81,null
"Fremantle (C)",858,53430,"wa",4049.0,2615.0,612,1260,1987.7
"Geraldton-Greenough (C)",1161,53520,"wa",4911.1,3206.4,436,1834,1170.0
"Gingin (S)",181,53570,"wa",3951.6,2948.1,46,220,917.0
"Gnowangerup (S)",null,53640,"wa",3333.5,null,null,44,null
"Goomalling (S)",34,53710,"wa",3785.9,2867.8,null,42,null
"Gosnells (C)",2603,53780,"wa",3933.4,2660.8,1121,4306,970.9
"Halls Creek (S)",null,53920,"wa",5344.2,null,null,176,null
"Kalgoorlie/Boulder (C)",554,54280,"wa",3460.8,2513.6,407,1001,1236.8
"Leonora (S)",null,55040,"wa",null,null,null,null,null
"Mandurah (C)",2952,55110,"wa",3951.1,3095.8,635,3325,830.4
"Katanning (S)",138,54340,"wa",3904.2,3233.9,null,165,null
"Kellerberrin (S)",37,54410,"wa",3532.8,2678.8,null,46,null
"Kent (S)",12,54480,"wa",null,2173.4,null,null,null
"Laverton (S)",12,54970,"wa",null,1274.0,null,null,null
"Manjimup (S)",273,55180,"wa",3586.0,2448.7,130,367,1390.1
"Meekatharra (S)",null,55250,"wa",null,null,null,null,null
"Melville (C)",3038,55320,"wa",4147.8,2688.1,1224,4503,1156.9
"Menzies (S)",null,55390,"wa",null,null,null,null,null
"Merredin (S)",103,55460,"wa",3532.8,2678.8,null,128,null
"Mingenew (S)",13,55530,"wa",null,2198.6,null,null,null
"Mount Marshall (S)",15,55880,"wa",null,2678.8,null,null,null
"Moora (S)",85,55600,"wa",3785.9,2867.8,null,104,null
